rank,feature,gain_importance,selected_top20
1,VORP,0.07822323,True
2,OWS,0.07650947,True
3,eFG%,0.05859716,True
4,TS%,0.05826077,True
5,FT,0.052731168,True
6,WS,0.03966339,True
7,TOV,0.039286125,True
8,PTS,0.03581619,True
9,2P,0.031831603,True
10,3PA,0.027519746,True
11,2PA,0.023378827,True
12,FGA,0.02055702,True
13,DWS,0.019929307,True
14,AST,0.019881876,True
15,FG,0.019396547,True
16,FTA,0.01915866,True
17,PF,0.018506818,True
18,3P,0.017170856,True
19,TRB%,0.016961807,True
20,TOV%,0.016129024,True
21,TRB,0.01606126,False
22,OBPM,0.015866911,False
23,DRB,0.015526595,False
24,ORB,0.015266828,False
25,2P%,0.014705584,False
26,BPM,0.014660243,False
27,3P%,0.014549938,False
28,STL,0.014407454,False
29,AST%,0.014078822,False
30,FT%,0.01372601,False
31,BLK,0.0136756245,False
32,USG%,0.0127309505,False
33,FTr,0.012661903,False
34,WS/48,0.012654552,False
35,BLK%,0.012437196,False
36,3PAr,0.012220908,False
37,MP,0.012159695,False
38,STL%,0.01199579,False
39,ORB%,0.011377165,False
40,FG%,0.011175093,False
41,DBPM,0.011159779,False
42,PER,0.010995331,False
43,DRB%,0.009116365,False
44,G,0.00728047,False
