rank,feature,gain_importance,selected_top20
1,TS%,0.16181041,True
2,eFG%,0.05585819,True
3,PTS,0.0547634,True
4,TOV%,0.05468329,True
5,clwpa_lag1,0.05009596,True
6,TOV,0.039850667,True
7,OBPM,0.0361142,True
8,OWS,0.03038389,True
9,3PA,0.026571462,True
10,USG%,0.023755997,True
11,3P,0.01955842,True
12,WS,0.01909741,True
13,2PA,0.01790089,True
14,VORP,0.017723344,True
15,3PAr,0.016808163,True
16,ORB,0.016435733,True
17,PER,0.016129896,True
18,FT,0.015669864,True
19,PF,0.015022917,True
20,FT%,0.014184159,True
21,BPM,0.013971838,False
22,AST%,0.013761276,False
23,TRB%,0.013592395,False
24,FTA,0.013407282,False
25,2P%,0.01312873,False
26,BLK,0.012964061,False
27,ORB%,0.012615898,False
28,WS/48,0.012598077,False
29,FGA,0.012457133,False
30,AST,0.012452117,False
31,TRB,0.0123742055,False
32,DWS,0.012338375,False
33,FG,0.011959176,False
34,2P,0.011890566,False
35,FTr,0.011682884,False
36,MP,0.011654266,False
37,DBPM,0.011471553,False
38,BLK%,0.011419288,False
39,DRB,0.011161352,False
40,STL,0.011025529,False
41,STL%,0.010652002,False
42,DRB%,0.01062251,False
43,FG%,0.010589684,False
44,3P%,0.010458757,False
45,G,0.0073327217,False
