Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2000,Kevin Garnett,PF,24,MIN,4,4,165,27,58,0.466,0,3,0.0,27,55,0.491,0.466,30,36,0.833,10,38,48,17,4,6,6,13,84,24.9,0.569,0.052,0.621,6.6,26.6,16.3,21.6,1.3,2.9,7.5,22.8,0.6,0.3,0.9,0.255,7.2,2.9,10.1,0.5
2000,Jeff Foster,C,24,IND,4,2,52,4,9,0.444,0,0,,4,9,0.444,0.444,2,2,1.0,3,9,12,2,0,3,4,8,10,6.5,0.506,0.0,0.222,6.2,19.5,12.7,6.4,0.0,4.0,28.8,12.4,-0.1,0.0,0.0,-0.005,-5.5,1.9,-3.6,0.0
2000,Rick Fox,SF,31,LAL,16,16,573,58,130,0.45,18,58,0.316,40,72,0.556,0.519,26,30,0.867,13,66,78,58,30,6,37,54,160,12.2,0.563,0.442,0.233,2.5,12.2,7.5,14.4,2.8,0.9,20.2,13.7,0.5,1.1,1.6,0.132,-0.2,1.7,1.5,0.5
2000,Lawrence Funderburke,PF,30,SAC,3,0,17,3,8,0.375,0,0,,3,8,0.375,0.375,1,1,1.0,4,2,6,0,2,2,1,4,7,20.6,0.415,0.0,0.125,23.9,12.1,18.1,0.0,5.9,8.0,10.6,23.1,0.0,0.1,0.1,0.151,-1.8,1.6,-0.2,0.0
2000,Devean George,SF,23,LAL,7,0,27,6,12,0.5,1,2,0.5,5,10,0.5,0.542,1,2,0.5,3,2,5,1,0,0,3,6,14,10.5,0.543,0.167,0.167,12.4,7.8,10.1,6.5,0.0,0.0,18.9,26.0,0.0,0.0,0.0,0.05,-3.9,-2.0,-5.9,0.0
2000,Dean Garrett,C,34,MIN,3,2,41,4,12,0.333,0,0,,4,12,0.333,0.333,5,6,0.833,2,7,9,0,1,1,0,6,13,10.9,0.444,0.0,0.5,5.3,19.7,12.3,0.0,1.3,2.0,0.0,16.9,0.0,0.1,0.1,0.109,-1.9,0.1,-1.8,0.0
2000,Pat Garrity,SF,24,ORL,4,0,117,17,36,0.472,10,20,0.5,7,16,0.438,0.611,4,5,0.8,1,4,5,2,0,1,2,11,48,11.6,0.628,0.556,0.139,0.9,3.5,2.2,2.6,0.0,0.6,5.0,15.1,0.3,-0.1,0.1,0.051,0.9,-2.4,-1.5,0.0
2000,Matt Geiger,C,31,PHI,12,0,100,17,29,0.586,0,0,,17,29,0.586,0.586,4,4,1.0,10,8,18,7,2,0,5,30,38,13.2,0.618,0.0,0.138,11.1,9.3,10.2,13.1,1.1,0.0,14.0,16.4,0.3,0.0,0.3,0.143,-3.4,1.9,-1.5,0.0
2000,Derek Fisher,PG,26,LAL,16,16,576,77,158,0.484,35,69,0.515,42,91,0.462,0.594,26,34,0.765,5,56,61,48,21,2,13,45,214,15.6,0.618,0.428,0.214,1.0,10.3,5.7,12.7,1.9,0.1,6.5,14.3,1.6,0.9,2.5,0.207,1.6,1.6,3.2,0.8
2000,Brian Grant,C,28,MIA,3,0,84,10,24,0.417,0,0,,10,24,0.417,0.417,10,14,0.714,6,18,24,1,0,5,6,9,30,12.2,0.497,0.0,0.583,8.8,25.9,17.4,2.4,0.0,4.6,16.6,20.8,-0.1,0.0,0.0,-0.006,-1.6,-0.9,-2.4,0.0
